id,work_province,work_dedication,salary_monthly_BRUTO,salary_monthly_NETO,profile_studies_level,profile_age,profile_gender,lenguaje_programacion,profile_years_experience
1,Catamarca,Full-Time,300000,245000,Universitario,35,Varón Cis,python,10
2,Chaco,Full-Time,900000,850000,NA,31,Varón Cis,css,2
2,Chaco,Full-Time,900000,850000,NA,31,Varón Cis,html,2
2,Chaco,Full-Time,900000,850000,NA,31,Varón Cis,java,2
2,Chaco,Full-Time,900000,850000,NA,31,Varón Cis,javascript,2
2,Chaco,Full-Time,900000,850000,NA,31,Varón Cis,sql,2
2,Chaco,Full-Time,900000,850000,NA,31,Varón Cis,typescript,2
3,Chaco,Full-Time,120000,115000,NA,27,Varón Cis,javascript,2
3,Chaco,Full-Time,120000,115000,NA,27,Varón Cis,php,2
3,Chaco,Full-Time,120000,115000,NA,27,Varón Cis,python,2
4,Chaco,Full-Time,440000,0,NA,21,Varón Cis,javascript,1
4,Chaco,Full-Time,440000,0,NA,21,Varón Cis,typescript,1
5,Chaco,Full-Time,140000,125000,NA,32,Varón Cis,css,1
5,Chaco,Full-Time,140000,125000,NA,32,Varón Cis,html,1
5,Chaco,Full-Time,140000,125000,NA,32,Varón Cis,javascript,1
6,Chaco,Full-Time,633000,395000,Universitario,31,Varón Cis,go,6
6,Chaco,Full-Time,633000,395000,Universitario,31,Varón Cis,java,6
7,Chaco,Full-Time,110000,90000,Terciario,33,Varón Cis,java,1
8,Chaco,Full-Time,157000,127000,Universitario,35,Varón Cis,html,3
8,Chaco,Full-Time,157000,127000,Universitario,35,Varón Cis,javascript,3
8,Chaco,Full-Time,157000,127000,Universitario,35,Varón Cis,sql,3
8,Chaco,Full-Time,157000,127000,Universitario,35,Varón Cis,typescript,3
9,Chaco,Part-Time,55000,45650,Universitario,28,Varón Cis,sql,0
10,Chaco,Full-Time,190000,178000,Universitario,29,Varón Cis,java,0
11,Chaco,Full-Time,242000,202029,Universitario,30,Varón Cis,ninguno de los anteriores,3
12,Chaco,Full-Time,280000,180000,Universitario,56,Varón Cis,ninguno de los anteriores,25
13,Chaco,Full-Time,329850,315000,Universitario,45,Varón Cis,.net,17
13,Chaco,Full-Time,329850,315000,Universitario,45,Varón Cis,c#,17
13,Chaco,Full-Time,329850,315000,Universitario,45,Varón Cis,css,17
13,Chaco,Full-Time,329850,315000,Universitario,45,Varón Cis,html,17
13,Chaco,Full-Time,329850,315000,Universitario,45,Varón Cis,javascript,17
13,Chaco,Full-Time,329850,315000,Universitario,45,Varón Cis,sql,17
14,Chaco,Full-Time,625000,625000,Universitario,23,Varón Cis,bash/shell,1
14,Chaco,Full-Time,625000,625000,Universitario,23,Varón Cis,python,1
14,Chaco,Full-Time,625000,625000,Universitario,23,Varón Cis,sql,1
15,Chaco,Full-Time,222500,180700,Universitario,25,Varón Cis,groovy,0
15,Chaco,Full-Time,222500,180700,Universitario,25,Varón Cis,java,0
15,Chaco,Full-Time,222500,180700,Universitario,25,Varón Cis,javascript,0
16,Chaco,Full-Time,380000,317000,Universitario,29,Varón Cis,bash/shell,4
16,Chaco,Full-Time,380000,317000,Universitario,29,Varón Cis,html,4
16,Chaco,Full-Time,380000,317000,Universitario,29,Varón Cis,javascript,4
16,Chaco,Full-Time,380000,317000,Universitario,29,Varón Cis,php,4
16,Chaco,Full-Time,380000,317000,Universitario,29,Varón Cis,python,4
16,Chaco,Full-Time,380000,317000,Universitario,29,Varón Cis,typescript,4
17,Chaco,Full-Time,156000,150000,Universitario,29,Varón Cis,html,5
17,Chaco,Full-Time,156000,150000,Universitario,29,Varón Cis,javascript,5
17,Chaco,Full-Time,156000,150000,Universitario,29,Varón Cis,php,5
17,Chaco,Full-Time,156000,150000,Universitario,29,Varón Cis,sql,5
18,Chaco,Full-Time,200000,176000,NA,33,Varón Cis,.net,5
18,Chaco,Full-Time,200000,176000,NA,33,Varón Cis,sql,5
19,Chaco,Part-Time,50000,45000,NA,43,Varón Cis,css,1
19,Chaco,Part-Time,50000,45000,NA,43,Varón Cis,html,1
19,Chaco,Part-Time,50000,45000,NA,43,Varón Cis,java,1
19,Chaco,Part-Time,50000,45000,NA,43,Varón Cis,python,1
19,Chaco,Part-Time,50000,45000,NA,43,Varón Cis,sql,1
20,Chaco,Full-Time,300000,200000,NA,24,Varón Cis,python,5
20,Chaco,Full-Time,300000,200000,NA,24,Varón Cis,sql,5
21,Chaco,Full-Time,166000,227000,NA,34,Varón Cis,sql,5
22,Chaco,Full-Time,190000,156000,Universitario,25,Varón Cis,java,2
22,Chaco,Full-Time,190000,156000,Universitario,25,Varón Cis,javascript,2
22,Chaco,Full-Time,190000,156000,Universitario,25,Varón Cis,groovy,2
23,Chaco,Full-Time,285000,245000,NA,35,Varón Cis,python,12
24,Chaco,Full-Time,212765.96,172601,Secundario,33,Varón Cis,ninguno de los anteriores,0
25,Chaco,Full-Time,95000,79000,Universitario,27,Varón Cis,python,0
25,Chaco,Full-Time,95000,79000,Universitario,27,Varón Cis,sql,0
25,Chaco,Full-Time,95000,79000,Universitario,27,Varón Cis,dax,0
26,Chaco,Full-Time,300000,285000,Universitario,51,Varón Cis,css,20
26,Chaco,Full-Time,300000,285000,Universitario,51,Varón Cis,html,20
26,Chaco,Full-Time,300000,285000,Universitario,51,Varón Cis,javascript,20
26,Chaco,Full-Time,300000,285000,Universitario,51,Varón Cis,sql,20
26,Chaco,Full-Time,300000,285000,Universitario,51,Varón Cis,typescript,20
27,Chaco,Full-Time,280000,227000,NA,39,Varón Cis,bash/shell,2
28,Chaco,Full-Time,277000,230000,Universitario,26,Varón Cis,javascript,2
29,Chaco,Part-Time,2600,0,Universitario,22,Varón Cis,java,0
29,Chaco,Part-Time,2600,0,Universitario,22,Varón Cis,sql,0
30,Chaco,Full-Time,10200,82000,NA,29,Varón Cis,.net,12
30,Chaco,Full-Time,10200,82000,NA,29,Varón Cis,c#,12
30,Chaco,Full-Time,10200,82000,NA,29,Varón Cis,html,12
30,Chaco,Full-Time,10200,82000,NA,29,Varón Cis,sql,12
31,Chaco,Full-Time,220000,183000,NA,43,Varón Cis,bash/shell,0
31,Chaco,Full-Time,220000,183000,NA,43,Varón Cis,python,0
31,Chaco,Full-Time,220000,183000,NA,43,Varón Cis,sql,0
32,Chaco,Full-Time,231000,190000,Universitario,37,Varón Cis,genexus,15
33,Chaco,Full-Time,154000,140000,NA,48,Varón Cis,.net,25
33,Chaco,Full-Time,154000,140000,NA,48,Varón Cis,c#,25
33,Chaco,Full-Time,154000,140000,NA,48,Varón Cis,kotlin,25
33,Chaco,Full-Time,154000,140000,NA,48,Varón Cis,sql,25
34,Chaco,Full-Time,203000,178000,NA,34,Varón Cis,sql,10
35,Chaco,Full-Time,193000,163000,NA,31,Varón Cis,.net,1
35,Chaco,Full-Time,193000,163000,NA,31,Varón Cis,c#,1
35,Chaco,Full-Time,193000,163000,NA,31,Varón Cis,css,1
35,Chaco,Full-Time,193000,163000,NA,31,Varón Cis,html,1
35,Chaco,Full-Time,193000,163000,NA,31,Varón Cis,python,1
35,Chaco,Full-Time,193000,163000,NA,31,Varón Cis,sql,1
35,Chaco,Full-Time,193000,163000,NA,31,Varón Cis,vba,1
36,Chaco,Full-Time,195000,190000,NA,30,Varón Cis,.net,4
36,Chaco,Full-Time,195000,190000,NA,30,Varón Cis,c#,4
36,Chaco,Full-Time,195000,190000,NA,30,Varón Cis,css,4
36,Chaco,Full-Time,195000,190000,NA,30,Varón Cis,html,4
36,Chaco,Full-Time,195000,190000,NA,30,Varón Cis,javascript,4
36,Chaco,Full-Time,195000,190000,NA,30,Varón Cis,sql,4
37,Chaco,Full-Time,450000,380000,NA,36,Varón Cis,.net,10
37,Chaco,Full-Time,450000,380000,NA,36,Varón Cis,c#,10
37,Chaco,Full-Time,450000,380000,NA,36,Varón Cis,html,10
37,Chaco,Full-Time,450000,380000,NA,36,Varón Cis,javascript,10
37,Chaco,Full-Time,450000,380000,NA,36,Varón Cis,typescript,10
38,Chaco,Full-Time,256200,212146,NA,40,Varón Cis,html,10
38,Chaco,Full-Time,256200,212146,NA,40,Varón Cis,javascript,10
38,Chaco,Full-Time,256200,212146,NA,40,Varón Cis,php,10
38,Chaco,Full-Time,256200,212146,NA,40,Varón Cis,python,10
38,Chaco,Full-Time,256200,212146,NA,40,Varón Cis,sql,10
39,Chaco,Full-Time,180852,155486,NA,40,Varón Cis,.net,10
39,Chaco,Full-Time,180852,155486,NA,40,Varón Cis,c#,10
40,Chaco,Full-Time,243000,198000,Universitario,33,Varón Cis,sql,3
40,Chaco,Full-Time,243000,198000,Universitario,33,Varón Cis,genexus,3
41,Chaco,Full-Time,279000,225000,NA,45,Varón Cis,bash/shell,15
41,Chaco,Full-Time,279000,225000,NA,45,Varón Cis,python,15
42,Chaco,Full-Time,1400000,1400000,NA,35,Varón cis,javascript,10
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,bash/shell,8
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,css,8
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,html,8
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,java,8
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,javascript,8
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,php,8
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,python,8
43,Chaco,Full-Time,75000,65000,NA,30,Varón cis,sql,8
44,Chaco,Full-Time,122000,106000,NA,30,Varón cis,ninguno de los anteriores,4
45,Chaco,Full-Time,215000,179,Universitario,31,Varón cis,bash/shell,10
45,Chaco,Full-Time,215000,179,Universitario,31,Varón cis,css,10
45,Chaco,Full-Time,215000,179,Universitario,31,Varón cis,html,10
45,Chaco,Full-Time,215000,179,Universitario,31,Varón cis,javascript,10
46,Chaco,Full-Time,130134.06,107035,NA,29,Varón cis,java,3
47,Chaco,Full-Time,340000,245000,Universitario,28,Mujer Cis,python,3.5
48,Chaco,Full-Time,275000,253000,NA,25,Mujer Cis,ninguno de los anteriores,5
49,Chaco,Full-Time,80000,75000,Universitario,33,Mujer Cis,html,5
